step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
36000,3.415446,1.141920,12.722439,16.378046,17.094597,17.327562,17.949579,19.794104,0.648607,0.834711,0.871219,0.883356,0.915097,1.008667,9.049086,18.229546,14.555239,18.692663,19.296139,26.970034,0.10905270,0.25658885,0.27139559,0.29661423,0.36896583,0.56817341
36500,3.428684,1.141735,12.723772,16.380777,17.098091,17.332182,17.955257,19.802025,0.648664,0.834849,0.871398,0.883587,0.915382,1.009068,9.052451,18.232719,14.559113,18.706099,19.309883,27.003027,0.10764683,0.25468996,0.26942497,0.29390854,0.36601591,0.56328392
37000,3.395870,1.140784,12.727727,16.381176,17.101145,17.339455,17.961752,19.809099,0.648859,0.834866,0.871542,0.883955,0.915715,1.009421,9.051341,18.235279,14.560973,18.721853,19.322586,27.033428,0.10604773,0.25235990,0.26737824,0.29194209,0.36310029,0.56020355
37500,3.407449,1.140941,12.736459,16.384274,17.105961,17.343012,17.968323,19.816738,0.649298,0.835024,0.871788,0.884137,0.916047,1.009809,9.055194,18.237654,14.564541,18.732904,19.335554,27.060780,0.10472903,0.25051051,0.26589721,0.28964451,0.36012775,0.55584764
38000,3.395239,1.140896,12.741645,16.385723,17.112955,17.345371,17.974178,19.823380,0.649565,0.835095,0.872147,0.884256,0.916343,1.010146,9.055348,18.239832,14.567619,18.743797,19.349670,27.090515,0.10355924,0.24883941,0.26389179,0.28734255,0.35716999,0.55217695
38500,3.385293,1.140381,12.747020,16.392925,17.115999,17.350542,17.982845,19.831375,0.649845,0.835457,0.872292,0.884517,0.916785,1.010547,9.060117,18.241693,14.570062,18.756950,19.363701,27.116480,0.10237487,0.24708135,0.26235074,0.28534439,0.35387954,0.54893363
39000,3.373246,1.139837,12.753135,16.396749,17.121616,17.357019,17.988316,19.838011,0.650159,0.835654,0.872579,0.884845,0.917062,1.010882,9.064518,18.243628,14.574775,18.768337,19.371609,27.143557,0.10109124,0.24531811,0.26008922,0.28310037,0.35149497,0.54584891
39500,3.372000,1.140566,12.759113,16.399536,17.129410,17.361942,17.994461,19.846485,0.650469,0.835793,0.872973,0.885095,0.917375,1.011314,9.066564,18.245129,14.576763,18.778378,19.385006,27.168228,0.09986801,0.24356824,0.25814965,0.28113636,0.34880561,0.54265219
40000,3.376375,1.140995,12.767807,16.403442,17.134665,17.369101,17.998283,19.852505,0.650908,0.835993,0.873240,0.885460,0.917566,1.011618,9.072033,18.247017,14.580630,18.793022,19.396141,27.191515,0.09864249,0.24201241,0.25628796,0.27873725,0.34738412,0.53941548
40500,3.356506,1.139336,12.775698,16.408783,17.141476,17.373827,18.006155,19.857977,0.651309,0.836267,0.873590,0.885699,0.917967,1.011896,9.076682,18.248428,14.583268,18.801603,19.406050,27.216066,0.09742582,0.24053574,0.25425112,0.27667660,0.34472165,0.53636020
41000,3.360905,1.139172,12.783998,16.412436,17.144041,17.377686,18.012342,19.863815,0.651738,0.836450,0.873717,0.885898,0.918279,1.012191,9.082067,18.251019,14.586583,18.813715,19.417086,27.237715,0.09625292,0.23910026,0.25267774,0.27500528,0.34300151,0.53328270
41500,3.376545,1.138338,12.787840,16.416540,17.150099,17.382511,18.017767,19.870127,0.651929,0.836658,0.874022,0.886143,0.918553,1.012513,9.086672,18.253197,14.590164,18.822302,19.426760,27.259790,0.09526125,0.23763101,0.25088897,0.27294904,0.34105924,0.53016454
42000,3.346706,1.139074,12.794529,16.417131,17.153088,17.388517,18.022659,19.876245,0.652267,0.836689,0.874174,0.886444,0.918805,1.012821,9.092723,18.255075,14.593697,18.833288,19.436171,27.280333,0.09420105,0.23612660,0.24960764,0.27125260,0.33903244,0.52753490
42500,3.342708,1.138494,12.802177,16.421997,17.155457,17.393980,18.028654,19.882530,0.652651,0.836936,0.874293,0.886723,0.919110,1.013142,9.096687,18.256891,14.596746,18.842602,19.444536,27.297926,0.09311242,0.23453020,0.24824999,0.26954997,0.33710539,0.52473152
43000,3.361153,1.138209,12.808488,16.426844,17.161165,17.396151,18.032303,19.887278,0.652974,0.837180,0.874585,0.886836,0.919297,1.013381,9.100219,18.258062,14.600577,18.852093,19.454136,27.316820,0.09211167,0.23316644,0.24698557,0.26797950,0.33501083,0.52214485
43500,3.337978,1.139081,12.815928,16.431156,17.163363,17.400131,18.038494,19.893877,0.653355,0.837400,0.874693,0.887038,0.919611,1.013717,9.103739,18.259941,14.603433,18.859869,19.464287,27.333769,0.09122238,0.23168580,0.24582130,0.26655436,0.33269113,0.51964480
44000,3.329120,1.138898,12.820164,16.435211,17.168970,17.405949,18.044762,19.898317,0.653575,0.837606,0.874978,0.887333,0.919931,1.013939,9.109071,18.260725,14.607074,18.867985,19.471331,27.350046,0.09030771,0.23045610,0.24414693,0.26474363,0.33051583,0.51689309
44500,3.340334,1.138456,12.827890,16.439831,17.173206,17.408207,18.050430,19.904215,0.653970,0.837841,0.875195,0.887445,0.920220,1.014239,9.110169,18.262802,14.610527,18.875095,19.478767,27.367077,0.08941365,0.22906628,0.24276176,0.26313004,0.32859588,0.51414520
45000,3.321826,1.138727,12.834173,16.442297,17.179092,17.414001,18.055021,19.909937,0.654290,0.837971,0.875495,0.887741,0.920452,1.014530,9.116625,18.263079,14.614835,18.883375,19.488329,27.382881,0.08850728,0.22789431,0.24141148,0.26137260,0.32680809,0.51153421
