step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
38000,3.536712,1.142189,11.719662,16.137554,16.720865,16.574528,16.971889,18.759285,0.596734,0.822246,0.851846,0.844866,0.864964,0.955349,9.457608,19.042221,16.619812,20.745787,20.305571,26.662609,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
38500,3.528144,1.141661,11.729080,16.140045,16.727413,16.576923,16.976496,18.761612,0.597215,0.822372,0.852181,0.844991,0.865201,0.955466,9.466935,19.049540,16.629578,20.764797,20.321356,26.687752,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
39000,3.516700,1.141448,11.743618,16.148617,16.735096,16.581657,16.980450,18.767534,0.597957,0.822806,0.852570,0.845227,0.865402,0.955763,9.475091,19.055523,16.639204,20.781946,20.337372,26.710718,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
39500,3.516986,1.141072,11.755180,16.154039,16.740831,16.585253,16.986195,18.770281,0.598559,0.823081,0.852865,0.845414,0.865690,0.955897,9.482986,19.061953,16.647463,20.801802,20.352009,26.733629,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
40000,3.522395,1.141002,11.764732,16.155794,16.746111,16.589211,16.989794,18.774490,0.599047,0.823168,0.853128,0.845616,0.865871,0.956109,9.489766,19.069214,16.657854,20.818821,20.366632,26.755442,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
40500,3.503873,1.139804,11.772980,16.162630,16.751890,16.592550,16.995571,18.777941,0.599466,0.823519,0.853417,0.845784,0.866165,0.956281,9.499957,19.075367,16.666243,20.833858,20.380726,26.777203,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
41000,3.510273,1.139397,11.786307,16.166956,16.756346,16.596630,16.999893,18.781395,0.600147,0.823741,0.853644,0.845990,0.866384,0.956449,9.505866,19.082500,16.673952,20.850267,20.394207,26.797178,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
41500,3.526299,1.138495,11.794945,16.171970,16.760977,16.602316,17.002260,18.784897,0.600587,0.823998,0.853884,0.846281,0.866503,0.956629,9.514475,19.088089,16.682331,20.865557,20.407032,26.817684,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
42000,3.498041,1.138693,11.804318,16.176481,16.768221,16.605564,17.005791,18.788668,0.601064,0.824228,0.854250,0.846443,0.866685,0.956817,9.522388,19.093382,16.690382,20.880779,20.419027,26.835291,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
42500,3.494696,1.138073,11.815149,16.180788,16.774796,16.610800,17.009583,18.791622,0.601619,0.824445,0.854584,0.846709,0.866876,0.956964,9.529045,19.099081,16.696981,20.893335,20.430767,26.853121,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
43000,3.512941,1.137803,11.823601,16.187092,16.780432,16.612341,17.012171,18.793900,0.602052,0.824765,0.854867,0.846787,0.867007,0.957081,9.535475,19.104763,16.703072,20.905979,20.442307,26.870152,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
43500,3.491753,1.137876,11.835810,16.189573,16.783575,16.618095,17.017805,18.797249,0.602677,0.824888,0.855030,0.847083,0.867296,0.957253,9.544561,19.109039,16.710485,20.918726,20.454243,26.886084,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
44000,3.484760,1.137569,11.843307,16.196741,16.791449,16.621124,17.022713,18.800257,0.603057,0.825255,0.855433,0.847235,0.867548,0.957403,9.550846,19.113029,16.716944,20.930958,20.463924,26.900757,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
44500,3.496417,1.137208,11.855042,16.201694,16.794968,16.624598,17.025656,18.802931,0.603658,0.825506,0.855614,0.847414,0.867696,0.957536,9.557838,19.118370,16.723787,20.943867,20.474083,26.916351,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
45000,3.479176,1.136995,11.864303,16.206436,16.801712,16.627640,17.031240,18.806471,0.604133,0.825747,0.855955,0.847569,0.867978,0.957712,9.564507,19.122625,16.730812,20.955551,20.484406,26.929670,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
